"","CO_ID","CoName","Date","Close","Volume"
"2347","0050   ","Yuanta Taiwan Top50",20130925,47.95,4177
"2348","0056   ","PTD          ",20130925,18.64,1364
"2349","006205 ","FB SSE180_0  ",20130925,20.7,4927
"2350","0050   ","Yuanta Taiwan Top50",20130926,47.5,4355
"2351","0056   ","PTD          ",20130926,18.46,2230
"2352","006205 ","FB SSE180_0  ",20130926,20.38,5150
"2353","0050   ","Yuanta Taiwan Top50",20130927,47.62,4768
"2354","0056   ","PTD          ",20130927,18.47,2455
"2355","006205 ","FB SSE180_0  ",20130927,20.41,5346
"2356","0050   ","Yuanta Taiwan Top50",20130930,47.41,16694
"2357","0056   ","PTD          ",20130930,18.45,3158
"2358","006205 ","FB SSE180_0  ",20130930,20.31,4907
"2359","0050   ","Yuanta Taiwan Top50",20131001,47.41,15431
"2360","0056   ","PTD          ",20131001,18.48,194
"2361","006205 ","FB SSE180_0  ",20131001,20.24,3943
"2362","0050   ","Yuanta Taiwan Top50",20131002,47.58,11303
"2363","0056   ","PTD          ",20131002,18.51,1483
"2364","006205 ","FB SSE180_0  ",20131002,20.28,3906
"2365","0050   ","Yuanta Taiwan Top50",20131003,48.57,23774
"2366","0056   ","PTD          ",20131003,18.66,1207
"2367","006205 ","FB SSE180_0  ",20131003,20.42,3789
"2368","0050   ","Yuanta Taiwan Top50",20131004,48.49,16689
"2369","0056   ","PTD          ",20131004,18.65,625
"2370","006205 ","FB SSE180_0  ",20131004,20.53,3697
"2371","0050   ","Yuanta Taiwan Top50",20131007,48.03,4869
"2372","0056   ","PTD          ",20131007,18.61,1533
"2373","006205 ","FB SSE180_0  ",20131007,20.72,4247
"2374","0050   ","Yuanta Taiwan Top50",20131008,48.41,9440
"2375","0056   ","PTD          ",20131008,18.56,668
"2376","006205 ","FB SSE180_0  ",20131008,20.7,4313
"2377","0050   ","Yuanta Taiwan Top50",20131009,48.28,6006
"2378","0056   ","PTD          ",20131009,18.46,1697
"2379","006205 ","FB SSE180_0  ",20131009,20.72,4595
"2380","0050   ","Yuanta Taiwan Top50",20131011,48.49,9045
